w_content,w_semantic,w_sentiment,w_rating_quality,w_agreement,precision@5,recall@5,ndcg@5,precision@10,recall@10,ndcg@10
0.15000000000000002,0.05,0.05,0.4,0.35000000000000003,0.36666666666666664,0.01916091582170343,0.3522035277902129,0.3,0.02980281094336128,0.30979729192065614
0.4,0.1,0.05,0.4,0.05,0.3166666666666667,0.014592768904585834,0.3061335312928203,0.3166666666666667,0.031381205536094865,0.30973272527829643
0.30000000000000004,0.1,0.1,0.45,0.05,0.3500000000000001,0.017438529584720624,0.321478269870132,0.32083333333333336,0.03282433581979046,0.3087509741954097
0.1,0.2,0.05,0.5,0.15000000000000002,0.325,0.017538841507947812,0.33467334305241,0.2916666666666667,0.028577560899140108,0.30814997591394633
0.05,0.25,0.1,0.55,0.05,0.31666666666666665,0.01575754881442085,0.30841014304935294,0.3125,0.03066037542554778,0.30805322246008054
0.05,0.05,0.15000000000000002,0.5,0.25,0.3,0.013724690785359149,0.3255314939845384,0.28750000000000003,0.027667085998260902,0.3076913703448407
0.15000000000000002,0.2,0.05,0.5,0.1,0.31666666666666665,0.017007298598684592,0.31435408289768363,0.30416666666666664,0.029425030180264048,0.30703646335749973
0.30000000000000004,0.05,0.1,0.5,0.05,0.34166666666666673,0.017051967459826317,0.3163717449931068,0.3166666666666667,0.03137437799625307,0.3067866062543778
0.2,0.15000000000000002,0.05,0.5,0.1,0.30833333333333335,0.015495550023896507,0.31003426637577514,0.3041666666666667,0.03032087661050209,0.3067646492381246
0.6000000000000001,0.2,0.05,0.1,0.05,0.30833333333333335,0.015291324731534587,0.3020726644320213,0.3125,0.034416269239824236,0.30663679558783924
0.2,0.1,0.05,0.5,0.15000000000000002,0.325,0.01629251410542165,0.3277825630711184,0.2916666666666667,0.029165913356030804,0.3051051380138477
0.45,0.2,0.05,0.25,0.05,0.3,0.014952571344000713,0.3004153556892538,0.3083333333333333,0.03069710293957904,0.3050423537345973
0.1,0.30000000000000004,0.05,0.5,0.05,0.31666666666666665,0.017155185943197867,0.3102020504408432,0.30416666666666664,0.029307363938183385,0.30463008174672657
0.15000000000000002,0.1,0.05,0.45,0.25,0.3333333333333333,0.017789738485805142,0.3260161983495808,0.3,0.029906710838431615,0.30409270484636103
0.45,0.15000000000000002,0.05,0.30000000000000004,0.05,0.3166666666666667,0.015648756250711934,0.31196841516238083,0.30416666666666664,0.030358349552045163,0.30401561948085476
0.65,0.2,0.05,0.05,0.05,0.30833333333333335,0.01522235335995928,0.298372150923878,0.3125,0.03452563468486584,0.303435925102925
0.35000000000000003,0.15000000000000002,0.05,0.4,0.05,0.325,0.014945355983890192,0.310009102429539,0.30833333333333335,0.030672414422087176,0.3032178245269713
0.45,0.05,0.05,0.4,0.05,0.3166666666666667,0.014656259355622,0.3128641794962677,0.3,0.0298679454816896,0.3028586138865273
0.30000000000000004,0.05,0.05,0.5,0.1,0.325,0.01638625353050655,0.3193767157421748,0.3,0.028731765067191346,0.3027732639941317
0.5,0.15000000000000002,0.05,0.25,0.05,0.3,0.014952571344000713,0.3028849154570907,0.3041666666666667,0.03038710501558323,0.30276733203038997
0.1,0.05,0.1,0.45,0.30000000000000004,0.31666666666666665,0.014521904042881765,0.3174604573382978,0.29583333333333334,0.029374763973323923,0.3022463591419408
0.05,0.2,0.1,0.55,0.1,0.325,0.017398777955649994,0.330696368224145,0.2875,0.028450720611947516,0.30213873432603283
0.25,0.05,0.05,0.5,0.15000000000000002,0.34166666666666673,0.017054745285774903,0.3343713390623357,0.2916666666666667,0.028145812594654342,0.30202212089665403
0.25,0.2,0.05,0.45,0.05,0.31666666666666665,0.014883251132350643,0.29893309503423043,0.30833333333333335,0.03083836634700943,0.30201070211157316
0.05,0.1,0.15000000000000002,0.55,0.15000000000000002,0.3,0.015015244722855814,0.34308684266857753,0.2625,0.025726369432995774,0.3017297874783502
0.2,0.15000000000000002,0.1,0.5,0.05,0.3416666666666666,0.01810837796671196,0.315894683374457,0.30833333333333335,0.03083881156553253,0.3011197031255656
0.6000000000000001,0.25,0.05,0.05,0.05,0.3166666666666667,0.015680732831223062,0.30445067988010016,0.30833333333333335,0.032920922774598245,0.3008004138505123
0.2,0.05,0.05,0.5,0.2,0.375,0.019460676013549952,0.3586500623863147,0.2833333333333333,0.02739164653161437,0.3006310088043
0.25,0.1,0.05,0.5,0.1,0.2916666666666667,0.01481830927486541,0.2916666666666667,0.30416666666666664,0.02947604907700595,0.30026563174493576
0.5,0.05,0.05,0.35000000000000003,0.05,0.30833333333333335,0.01425401551705196,0.3089962606467729,0.29583333333333334,0.030782100463549456,0.300229184260644
0.4,0.15000000000000002,0.05,0.35000000000000003,0.05,0.3166666666666667,0.01469407832889503,0.30417421855997845,0.30416666666666664,0.03036202321336298,0.30008005447483005
0.05,0.15000000000000002,0.1,0.5,0.2,0.325,0.016212263817231457,0.3333333333333334,0.2833333333333333,0.027941950122817378,0.30005469934302054
0.65,0.15000000000000002,0.05,0.1,0.05,0.30833333333333335,0.01522235335995928,0.3020726644320213,0.30416666666666664,0.03365812957671393,0.29994943248415695
0.5,0.1,0.05,0.30000000000000004,0.05,0.3,0.014893851075000068,0.301034658703019,0.3,0.031213105600111802,0.2998050931668182
